"Simbolo","Probabilidad","Informacion"
"192.168.0.102","0.00016666666666666666","12.550746785383243"
"192.168.0.105","3.3333333333333335e-05","14.872674880270607"
"192.168.0.104","0.011266666666666666","6.471795443988421"
"192.168.0.1","0.01315","6.2487933902571475"
"192.168.0.100","0.00018333333333333334","12.413243261633308"
"192.168.0.103","0.0005","10.965784284662087"
"192.168.0.111","0.0014","9.480357457491845"
"0.0.0.0","0.0002","12.28771237954945"
"Entropia de la fuente","1.03690058815211"
"Entropia Maxima","3.0"
