"Simbolo","Probabilidad","Informacion"
"169.254.252.147","0.00023438415563107934","12.058837332677818"
"192.168.21.17","0.0004980663307160436","10.971374491427477"
"192.168.17.46","0.0007617485058010079","10.358397614536726"
"192.168.18.172","0.0020215633423180594","8.950312875899646"
"192.168.16.33","0.00043947029180827374","11.151946737069299"
"192.168.18.170","8.789405836165475e-05","13.47387483195666"
"192.168.18.171","0.0061525840853158325","7.344591815011694"
"192.168.23.189","0.007617485058010079","7.036469519649362"
"192.168.20.241","0.000351576233446619","11.47387483195666"
"192.168.17.106","8.789405836165475e-05","13.47387483195666"
"192.168.20.242","0.007881167233095043","6.987374970121192"
"192.168.17.100","0.0001464900972694246","12.736909237790455"
"192.168.18.39","0.0002929801945388492","11.736909237790455"
"169.254.56.20","0.00020508613617719443","12.251482410620213"
"192.168.21.224","0.0005859603890776984","10.736909237790453"
"192.168.23.212","0.0001757881167233095","12.47387483195666"
"192.168.21.85","0.020391421539903903","5.6158938368290885"
"192.168.18.31","0.0015820930505097855","9.303949830514348"
"192.168.170.65","0.003222782139927341","8.277477619153156"
"192.168.17.226","0.006211180124223602","7.330916878114618"
"192.168.20.76","0.00011719207781553967","13.058837332677818"
"192.168.20.71","0.0014941989921481308","9.38641199070632"
"192.168.17.183","0.00026368217508496427","11.888912331235504"
"192.168.18.168","0.000351576233446619","11.47387483195666"
"192.168.22.154","0.0004980663307160436","10.971374491427477"
"192.168.22.153","0.00020508613617719443","12.251482410620213"
"169.254.199.99","2.9298019453884917e-05","15.058837332677818"
"192.168.21.167","0.0034571662955584204","8.176194283315974"
"192.168.18.167","0.0008496425641626626","10.200856337550245"
"192.168.19.130","0.006006093988046408","7.37935723317237"
"192.168.17.30","0.002607523731395758","8.58310390171142"
"192.168.22.26","8.789405836165475e-05","13.47387483195666"
"192.168.20.243","0.00026368217508496427","11.888912331235504"
"192.168.21.3","0.00041017227235438887","11.251482410620213"
"192.168.16.161","8.789405836165475e-05","13.47387483195666"
"169.254.252.232","0.0002929801945388492","11.736909237790455"
"192.168.21.164","2.9298019453884917e-05","15.058837332677818"
"192.168.17.111","0.0008203445447087777","10.251482410620213"
"192.168.21.166","5.8596038907769834e-05","14.058837332677818"
"192.168.17.117","0.0004980663307160436","10.971374491427477"
"192.168.19.24","0.00020508613617719443","12.251482410620213"
"192.168.21.231","0.00041017227235438887","11.251482410620213"
"192.168.23.229","0.00011719207781553967","13.058837332677818"
"192.168.20.162","0.0008203445447087777","10.251482410620213"
"192.168.20.163","0.001435602953240361","9.444127488562607"
"192.168.16.203","5.8596038907769834e-05","14.058837332677818"
"192.168.16.200","0.0019043712645025197","9.036469519649362"
"169.254.142.217","5.8596038907769834e-05","14.058837332677818"
"192.168.22.168","0.00011719207781553967","13.058837332677818"
"192.168.17.191","0.00038087425290050394","11.358397614536724"
"192.168.19.27","0.002461033634126333","8.666519909899057"
"192.168.17.197","0.0007324504863471229","10.414981142903091"
"192.168.17.196","0.00011719207781553967","13.058837332677818"
"192.168.18.133","0.0009082386030704325","10.104641022290942"
"192.168.22.93","0.00041017227235438887","11.251482410620213"
"192.168.16.11","0.0015527950310559005","9.330916878114618"
"192.168.19.59","0.007412398921832884","7.075843757983506"
"192.168.19.58","0.007002226649478496","7.157970524697068"
"192.168.21.96","0.00363295441228173","8.104641022290942"
"192.168.20.39","0.00041017227235438887","11.251482410620213"
"192.168.17.26","0.001054728700339857","9.888912331235504"
"192.168.20.38","0.00011719207781553967","13.058837332677818"
"192.168.17.20","0.0026954177897574125","8.535275376620802"
"192.168.16.1","0.23101488339388257","2.1139422929999436"
"192.168.22.10","2.9298019453884917e-05","15.058837332677818"
"192.168.20.128","0.0001464900972694246","12.736909237790455"
"192.168.23.128","0.0002929801945388492","11.736909237790455"
"192.168.23.237","0.0013477088948787063","9.535275376620804"
"192.168.23.126","0.0001464900972694246","12.736909237790455"
"192.168.21.45","8.789405836165475e-05","13.47387483195666"
"192.168.21.23","0.003281378178835111","8.251482410620213"
"192.168.21.20","0.008144849408180006","6.939896259954309"
"192.168.22.133","0.0009082386030704325","10.104641022290942"
"192.168.22.132","0.0012891128559709363","9.599405714040518"
"192.168.23.81","0.006386968240946912","7.29065300790089"
"192.168.18.222","5.8596038907769834e-05","14.058837332677818"
"169.254.207.169","0.0001757881167233095","12.47387483195666"
"192.168.19.44","0.006064690026954178","7.365350375178491"
"192.168.19.45","0.0007910465252548928","10.303949830514348"
"192.168.20.35","0.0038087425290050394","8.036469519649362"
"192.168.21.42","0.001377006914332591","9.504248481000179"
"192.168.17.107","0.0010840267197937418","9.849383967048867"
"192.168.20.9","0.000703152466893238","10.47387483195666"
"192.168.20.8","0.0022852455174030236","8.773435113815568"
"192.168.22.231","0.004160318762451658","7.909090213173134"
"192.168.20.1","0.0026954177897574125","8.535275376620802"
"192.168.16.104","0.00011719207781553967","13.058837332677818"
"192.168.21.140","0.00011719207781553967","13.058837332677818"
"192.168.19.34","0.000351576233446619","11.47387483195666"
"192.168.17.97","0.00041017227235438887","11.251482410620213"
"192.168.18.68","0.00043947029180827374","11.151946737069299"
"192.168.17.176","0.001816477206140865","9.104641022290942"
"192.168.23.242","0.0004980663307160436","10.971374491427477"
"192.168.23.243","0.001757881167233095","9.151946737069299"
"192.168.23.241","5.8596038907769834e-05","14.058837332677818"
"192.168.16.8","5.8596038907769834e-05","14.058837332677818"
"192.168.17.179","0.0021680534395874837","8.849383967048867"
"192.168.17.178","0.0002929801945388492","11.736909237790455"
"192.168.23.150","0.0013477088948787063","9.535275376620804"
"192.168.22.244","0.0013477088948787063","9.535275376620804"
"192.168.18.154","0.0003222782139927341","11.59940571404052"
"192.168.20.21","0.0003222782139927341","11.59940571404052"
"192.168.18.215","0.00026368217508496427","11.888912331235504"
"192.168.22.225","0.00026368217508496427","11.888912331235504"
"192.168.17.108","5.8596038907769834e-05","14.058837332677818"
"192.168.18.87","0.0007910465252548928","10.303949830514348"
"192.168.18.235","0.0009668346419782022","10.014443213319364"
"192.168.18.6","8.789405836165475e-05","13.47387483195666"
"192.168.21.87","0.00026368217508496427","11.888912331235504"
"192.168.16.70","5.8596038907769834e-05","14.058837332677818"
"192.168.23.46","0.0002929801945388492","11.736909237790455"
"192.168.20.196","0.001025430680885972","9.92955431573285"
"192.168.20.191","0.0029298019453884916","8.414981142903093"
"192.168.19.217","8.789405836165475e-05","13.47387483195666"
"192.168.18.76","0.000996132661432087","9.971374491427477"
"192.168.20.211","5.8596038907769834e-05","14.058837332677818"
"192.168.16.235","5.8596038907769834e-05","14.058837332677818"
"192.168.19.226","0.0013477088948787063","9.535275376620804"
"192.168.17.140","0.00858431969998828","6.864080478255568"
"192.168.22.85","5.8596038907769834e-05","14.058837332677818"
"192.168.20.116","0.0001464900972694246","12.736909237790455"
"192.168.18.98","0.00023438415563107934","12.058837332677818"
"192.168.19.63","0.0012598148365170515","9.632572577975719"
"192.168.18.96","0.00038087425290050394","11.358397614536724"
"169.254.192.54","5.8596038907769834e-05","14.058837332677818"
"192.168.18.92","0.001054728700339857","9.888912331235504"
"192.168.18.93","0.01423883745458807","6.134024829072036"
"192.168.22.216","0.003222782139927341","8.277477619153156"
"192.168.22.62","8.789405836165475e-05","13.47387483195666"
"192.168.21.128","0.0030176960037501463","8.372336805494598"
"192.168.23.66","0.0005566623696238134","10.810909819234231"
"192.168.23.51","0.0006738544474393531","10.535275376620804"
"192.168.22.64","0.0024317356146724483","8.683797901330891"
"192.168.21.127","0.0003222782139927341","11.59940571404052"
"192.168.17.159","0.00038087425290050394","11.358397614536724"
"169.254.236.19","2.9298019453884917e-05","15.058837332677818"
"192.168.23.178","0.0003222782139927341","11.59940571404052"
"192.168.17.1","0.002138755420133599","8.869012773797799"
"192.168.22.105","0.00011719207781553967","13.058837332677818"
"192.168.22.100","0.0001757881167233095","12.47387483195666"
"192.168.18.210","0.0003222782139927341","11.59940571404052"
"192.168.22.202","0.00020508613617719443","12.251482410620213"
"192.168.21.72","0.000351576233446619","11.47387483195666"
"192.168.17.62","0.002900503925934607","8.429480712598208"
"192.168.19.18","0.002080159381225829","8.909090213173135"
"192.168.22.55","0.00011719207781553967","13.058837332677818"
"192.168.22.54","0.00023438415563107934","12.058837332677818"
"192.168.23.22","0.0017285831477792102","9.176194283315974"
"192.168.23.24","0.0001464900972694246","12.736909237790455"
"192.168.23.26","0.00038087425290050394","11.358397614536724"
"192.168.19.5","0.0036036563928278447","8.116322827338577"
"192.168.16.204","0.0003222782139927341","11.59940571404052"
"192.168.19.233","0.0001757881167233095","12.47387483195666"
"192.168.22.192","8.789405836165475e-05","13.47387483195666"
"192.168.22.190","0.001816477206140865","9.104641022290942"
"192.168.21.190","0.000996132661432087","9.971374491427477"
